#    L    TT             EE             BB             TE          
   280   0.490372E+04   0.505649E+01   0.222471E-01   0.988970E+02
   281   0.487631E+04   0.519042E+01   0.223840E-01   0.100041E+03
   282   0.484841E+04   0.532617E+01   0.225204E-01   0.101159E+03
   283   0.482031E+04   0.546399E+01   0.226563E-01   0.102251E+03
   284   0.479195E+04   0.560382E+01   0.227917E-01   0.103318E+03
   285   0.476332E+04   0.574565E+01   0.229266E-01   0.104359E+03
   286   0.473434E+04   0.588936E+01   0.230610E-01   0.105368E+03
   287   0.470508E+04   0.603496E+01   0.231949E-01   0.106358E+03
   288   0.467563E+04   0.618244E+01   0.233282E-01   0.107315E+03
   289   0.464589E+04   0.633176E+01   0.234610E-01   0.108246E+03
   290   0.461596E+04   0.648276E+01   0.235933E-01   0.109152E+03
   291   0.458582E+04   0.663621E+01   0.237250E-01   0.110018E+03
   292   0.455517E+04   0.679100E+01   0.238561E-01   0.110865E+03
   293   0.452461E+04   0.694677E+01   0.239866E-01   0.111672E+03
   294   0.449369E+04   0.710502E+01   0.241166E-01   0.112460E+03
   295   0.446279E+04   0.726426E+01   0.242459E-01   0.113208E+03
   296   0.443152E+04   0.742600E+01   0.243747E-01   0.113930E+03
   297   0.440011E+04   0.758801E+01   0.245028E-01   0.114627E+03
   298   0.436842E+04   0.775254E+01   0.246303E-01   0.115283E+03
   299   0.433665E+04   0.791885E+01   0.247572E-01   0.115906E+03
   300   0.430466E+04   0.808548E+01   0.248834E-01   0.116496E+03
   301   0.427253E+04   0.825390E+01   0.250090E-01   0.117060E+03
   302   0.424032E+04   0.842340E+01   0.251340E-01   0.117598E+03
   303   0.420797E+04   0.859471E+01   0.252582E-01   0.118095E+03
   304   0.417547E+04   0.876785E+01   0.253818E-01   0.118552E+03
   305   0.414290E+04   0.894134E+01   0.255047E-01   0.118982E+03
   306   0.411018E+04   0.911594E+01   0.256269E-01   0.119378E+03
   307   0.407739E+04   0.929164E+01   0.257485E-01   0.119732E+03
   308   0.404453E+04   0.946994E+01   0.258693E-01   0.120068E+03
   309   0.401167E+04   0.964789E+01   0.259894E-01   0.120354E+03
   310   0.397867E+04   0.982623E+01   0.261088E-01   0.120614E+03
   311   0.394566E+04   0.100072E+02   0.262275E-01   0.120831E+03
   312   0.391266E+04   0.101878E+02   0.263455E-01   0.121021E+03
   313   0.387958E+04   0.103696E+02   0.264627E-01   0.121169E+03
   314   0.384651E+04   0.105526E+02   0.265792E-01   0.121289E+03
   315   0.381344E+04   0.107352E+02   0.266950E-01   0.121367E+03
   316   0.378037E+04   0.109190E+02   0.268101E-01   0.121409E+03
   317   0.374730E+04   0.111026E+02   0.269244E-01   0.121416E+03
   318   0.371424E+04   0.112880E+02   0.270379E-01   0.121388E+03
   319   0.368125E+04   0.114732E+02   0.271508E-01   0.121323E+03
   320   0.364833E+04   0.116589E+02   0.272629E-01   0.121231E+03
   321   0.361542E+04   0.118458E+02   0.273743E-01   0.121095E+03
   322   0.358259E+04   0.120317E+02   0.274849E-01   0.120922E+03
   323   0.354983E+04   0.122181E+02   0.275948E-01   0.120714E+03
   324   0.351714E+04   0.124058E+02   0.277040E-01   0.120462E+03
   325   0.348461E+04   0.125910E+02   0.278124E-01   0.120188E+03
   326   0.345208E+04   0.127782E+02   0.279201E-01   0.119862E+03
   327   0.341969E+04   0.129652E+02   0.280272E-01   0.119507E+03
   328   0.338746E+04   0.131512E+02   0.281335E-01   0.119123E+03
   329   0.335531E+04   0.133378E+02   0.282391E-01   0.118694E+03
   330   0.332330E+04   0.135235E+02   0.283440E-01   0.118227E+03
   331   0.329152E+04   0.137090E+02   0.284482E-01   0.117731E+03
   332   0.325981E+04   0.138951E+02   0.285517E-01   0.117205E+03
   333   0.322825E+04   0.140803E+02   0.286546E-01   0.116641E+03
   334   0.319692E+04   0.142653E+02   0.287568E-01   0.116039E+03
   335   0.316566E+04   0.144487E+02   0.288584E-01   0.115399E+03
   336   0.313463E+04   0.146320E+02   0.289593E-01   0.114728E+03
   337   0.310382E+04   0.148152E+02   0.290596E-01   0.114012E+03
   338   0.307315E+04   0.149967E+02   0.291592E-01   0.113272E+03
   339   0.304279E+04   0.151789E+02   0.292583E-01   0.112494E+03
   340   0.301258E+04   0.153595E+02   0.293568E-01   0.111692E+03
   341   0.298251E+04   0.155385E+02   0.294547E-01   0.110843E+03
   342   0.295274E+04   0.157182E+02   0.295520E-01   0.109963E+03
   343   0.292320E+04   0.158956E+02   0.296488E-01   0.109051E+03
   344   0.289395E+04   0.160722E+02   0.297450E-01   0.108108E+03
   345   0.286485E+04   0.162473E+02   0.298408E-01   0.107132E+03
   346   0.283605E+04   0.164223E+02   0.299360E-01   0.106132E+03
   347   0.280747E+04   0.165951E+02   0.300307E-01   0.105091E+03
   348   0.277919E+04   0.167663E+02   0.301249E-01   0.104019E+03
   349   0.275113E+04   0.169368E+02   0.302187E-01   0.102914E+03
   350   0.272337E+04   0.171051E+02   0.303121E-01   0.101783E+03
   351   0.269605E+04   0.172726E+02   0.304050E-01   0.100620E+03
   352   0.266881E+04   0.174386E+02   0.304975E-01   0.994239E+02
   353   0.264194E+04   0.176024E+02   0.305896E-01   0.982094E+02
   354   0.261530E+04   0.177646E+02   0.306813E-01   0.969542E+02
   355   0.258904E+04   0.179254E+02   0.307726E-01   0.956732E+02
   356   0.256308E+04   0.180846E+02   0.308636E-01   0.943735E+02
   357   0.253742E+04   0.182415E+02   0.309543E-01   0.930404E+02
   358   0.251215E+04   0.183953E+02   0.310446E-01   0.916884E+02
   359   0.248711E+04   0.185476E+02   0.311347E-01   0.903027E+02
   360   0.246246E+04   0.186984E+02   0.312244E-01   0.888942E+02
   361   0.243812E+04   0.188467E+02   0.313139E-01   0.874584E+02
   362   0.241417E+04   0.189928E+02   0.314031E-01   0.859981E+02
   363   0.239053E+04   0.191372E+02   0.314921E-01   0.845156E+02
   364   0.236728E+04   0.192778E+02   0.315808E-01   0.830068E+02
   365   0.234435E+04   0.194168E+02   0.316694E-01   0.814778E+02
   366   0.232181E+04   0.195534E+02   0.317577E-01   0.799253E+02
   367   0.229967E+04   0.196861E+02   0.318459E-01   0.783515E+02
   368   0.227778E+04   0.198171E+02   0.319339E-01   0.767577E+02
   369   0.225643E+04   0.199457E+02   0.320217E-01   0.751417E+02
   370   0.223541E+04   0.200712E+02   0.321095E-01   0.735085E+02
   371   0.221472E+04   0.201935E+02   0.321971E-01   0.718543E+02
   372   0.219443E+04   0.203133E+02   0.322846E-01   0.701834E+02
   373   0.217454E+04   0.204299E+02   0.323720E-01   0.684928E+02
   374   0.215506E+04   0.205441E+02   0.324593E-01   0.667860E+02
   375   0.213592E+04   0.206551E+02   0.325466E-01   0.650628E+02
   376   0.211725E+04   0.207635E+02   0.326339E-01   0.633233E+02
   377   0.209900E+04   0.208680E+02   0.327211E-01   0.615703E+02
   378   0.208108E+04   0.209693E+02   0.328083E-01   0.598006E+02
   379   0.206358E+04   0.210680E+02   0.328955E-01   0.580186E+02
   380   0.204657E+04   0.211642E+02   0.329828E-01   0.562220E+02
   381   0.202990E+04   0.212541E+02   0.330700E-01   0.544136E+02
   382   0.201357E+04   0.213430E+02   0.331574E-01   0.525940E+02
   383   0.199774E+04   0.214278E+02   0.332448E-01   0.507617E+02
   384   0.198240E+04   0.215086E+02   0.333323E-01   0.489202E+02
   385   0.196734E+04   0.215876E+02   0.334199E-01   0.470679E+02
   386   0.195278E+04   0.216625E+02   0.335076E-01   0.452069E+02
   387   0.193857E+04   0.217333E+02   0.335954E-01   0.433372E+02
   388   0.192478E+04   0.218007E+02   0.336835E-01   0.414600E+02
   389   0.191143E+04   0.218626E+02   0.337716E-01   0.395753E+02
   390   0.189851E+04   0.219240E+02   0.338600E-01   0.376852E+02
   391   0.188601E+04   0.219806E+02   0.339486E-01   0.357880E+02
   392   0.187388E+04   0.220353E+02   0.340374E-01   0.338867E+02
   393   0.186226E+04   0.220851E+02   0.341265E-01   0.319803E+02
   394   0.185100E+04   0.221315E+02   0.342158E-01   0.300709E+02
