#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.226938E-02   0.190777E+08   0.190742E+08   0.559092E+05   0.369717E+05   0.177829E+08   0.190713E+08   0.190771E+08   0.190714E+08  -0.454185E+00   0.100583E+08   0.100577E+08   0.961839E+02
   0.250692E-02   0.189604E+08   0.189569E+08   0.557496E+05   0.112342E+06   0.174760E+08   0.189532E+08   0.189599E+08   0.189532E+08  -0.451371E+00   0.999608E+07   0.999543E+07   0.860990E+02
   0.276932E-02   0.188281E+08   0.188244E+08   0.179921E+05   0.811934E+05   0.171403E+08   0.188200E+08   0.188275E+08   0.188200E+08  -0.448196E+00   0.992589E+07   0.992525E+07   0.777136E+02
   0.305918E-02   0.186794E+08   0.186755E+08   0.240404E+05   0.833077E+05   0.167755E+08   0.186702E+08   0.186788E+08   0.186703E+08  -0.444630E+00   0.984705E+07   0.984640E+07   0.705042E+02
   0.337938E-02   0.185130E+08   0.185089E+08   0.438266E+04   0.620705E+05   0.163814E+08   0.185028E+08   0.185123E+08   0.185028E+08  -0.440641E+00   0.975885E+07   0.975820E+07   0.639202E+02
   0.373310E-02   0.183275E+08   0.183232E+08   0.486879E+04   0.577313E+05   0.159570E+08   0.183162E+08   0.183268E+08   0.183162E+08  -0.436196E+00   0.966058E+07   0.965993E+07   0.576137E+02
   0.412384E-02   0.181216E+08   0.181170E+08  -0.551140E+04   0.405905E+05   0.155014E+08   0.181091E+08   0.181209E+08   0.181091E+08  -0.431265E+00   0.955155E+07   0.955091E+07   0.516422E+02
   0.455549E-02   0.178940E+08   0.178892E+08   0.572265E+03   0.372782E+05   0.150140E+08   0.178804E+08   0.178933E+08   0.178804E+08  -0.425816E+00   0.943108E+07   0.943044E+07   0.462742E+02
   0.503231E-02   0.176435E+08   0.176382E+08   0.206571E+04   0.302281E+05   0.144952E+08   0.176286E+08   0.176427E+08   0.176286E+08  -0.419819E+00   0.929847E+07   0.929784E+07   0.416280E+02
   0.555904E-02   0.173687E+08   0.173630E+08  -0.265286E+04   0.225282E+05   0.139455E+08   0.173525E+08   0.173678E+08   0.173525E+08  -0.413244E+00   0.915308E+07   0.915246E+07   0.375089E+02
   0.614090E-02   0.170690E+08   0.170627E+08  -0.282313E+04   0.176518E+05   0.133411E+08   0.170513E+08   0.170680E+08   0.170513E+08  -0.406072E+00   0.899448E+07   0.899386E+07   0.337023E+02
   0.678367E-02   0.167422E+08   0.167351E+08  -0.413193E+04   0.142080E+05   0.127165E+08   0.167230E+08   0.167410E+08   0.167230E+08  -0.398253E+00   0.882158E+07   0.882096E+07   0.302476E+02
   0.749371E-02   0.163875E+08   0.163796E+08  -0.308175E+04   0.115297E+05   0.120600E+08   0.163668E+08   0.163862E+08   0.163668E+08  -0.389771E+00   0.863399E+07   0.863338E+07   0.272160E+02
   0.827807E-02   0.160039E+08   0.159950E+08  -0.157431E+04   0.975749E+04   0.113808E+08   0.159818E+08   0.160025E+08   0.159818E+08  -0.380600E+00   0.843116E+07   0.843055E+07   0.244943E+02
   0.914454E-02   0.155904E+08   0.155803E+08  -0.113832E+04   0.809820E+04   0.106868E+08   0.155668E+08   0.155888E+08   0.155668E+08  -0.370718E+00   0.821256E+07   0.821195E+07   0.220471E+02
   0.101017E-01   0.151460E+08   0.151345E+08  -0.211900E+04   0.588585E+04   0.997743E+07   0.151211E+08   0.151442E+08   0.151211E+08  -0.360103E+00   0.797774E+07   0.797714E+07   0.198856E+02
   0.111590E-01   0.146701E+08   0.146570E+08  -0.131985E+04   0.508762E+04   0.925405E+07   0.146438E+08   0.146681E+08   0.146438E+08  -0.348736E+00   0.772627E+07   0.772567E+07   0.179539E+02
   0.123270E-01   0.141618E+08   0.141467E+08  -0.130849E+04   0.402606E+04   0.852417E+07   0.141342E+08   0.141595E+08   0.141342E+08  -0.336600E+00   0.745775E+07   0.745715E+07   0.162449E+02
   0.136173E-01   0.136205E+08   0.136032E+08  -0.727647E+03   0.314390E+04   0.779553E+07   0.135917E+08   0.136178E+08   0.135917E+08  -0.323681E+00   0.717185E+07   0.717125E+07   0.147267E+02
   0.150426E-01   0.130458E+08   0.130260E+08  -0.833440E+03   0.252682E+04   0.707320E+07   0.130160E+08   0.130427E+08   0.130160E+08  -0.309970E+00   0.686842E+07   0.686782E+07   0.133806E+02
   0.166171E-01   0.124379E+08   0.124152E+08  -0.672651E+03   0.185600E+04   0.636145E+07   0.124071E+08   0.124344E+08   0.124071E+08  -0.295471E+00   0.654751E+07   0.654690E+07   0.121824E+02
   0.183565E-01   0.118159E+08   0.117899E+08  -0.465063E+03   0.152815E+04   0.567849E+07   0.117843E+08   0.118118E+08   0.117843E+08  -0.280639E+00   0.621918E+07   0.621857E+07   0.111208E+02
   0.202778E-01   0.111480E+08   0.111186E+08  -0.498564E+03   0.120621E+04   0.501232E+07   0.111159E+08   0.111434E+08   0.111159E+08  -0.264721E+00   0.586675E+07   0.586614E+07   0.101502E+02
   0.224003E-01   0.104426E+08   0.104096E+08  -0.361231E+03   0.777134E+03   0.437396E+07   0.104102E+08   0.104374E+08   0.104102E+08  -0.247915E+00   0.549461E+07   0.549399E+07   0.925272E+01
   0.247449E-01   0.972344E+07   0.968689E+07  -0.260703E+03   0.630028E+03   0.377737E+07   0.969107E+07   0.971772E+07   0.969107E+07  -0.230789E+00   0.511535E+07   0.511473E+07   0.841409E+01
   0.273350E-01   0.899664E+07   0.895677E+07  -0.226758E+03   0.513121E+03   0.322748E+07   0.896455E+07   0.899040E+07   0.896455E+07  -0.213487E+00   0.473214E+07   0.473151E+07   0.760827E+01
   0.301961E-01   0.826054E+07   0.821795E+07  -0.176714E+03   0.410669E+03   0.272447E+07   0.822907E+07   0.825387E+07   0.822907E+07  -0.195972E+00   0.434415E+07   0.434353E+07   0.681015E+01
   0.333567E-01   0.752956E+07   0.748521E+07  -0.120855E+03   0.472268E+03   0.227295E+07   0.749907E+07   0.752261E+07   0.749907E+07  -0.178587E+00   0.395900E+07   0.395840E+07   0.600325E+01
