#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    57   0.153817E+04  -0.986757E+00  -0.244665E-03  -0.986757E+00   0.160451E+00  -0.598739E-06  -0.244665E-03  -0.598739E-06   0.144033E-06
    58   0.155992E+04  -0.124674E+01  -0.235845E-03  -0.124674E+01   0.169226E+00  -0.556874E-06  -0.235845E-03  -0.556874E-06   0.143090E-06
    59   0.158183E+04  -0.151971E+01  -0.227325E-03  -0.151971E+01   0.178181E+00  -0.523990E-06  -0.227325E-03  -0.523990E-06   0.142145E-06
    60   0.160393E+04  -0.180548E+01  -0.218981E-03  -0.180548E+01   0.187365E+00  -0.522817E-06  -0.218981E-03  -0.522817E-06   0.141198E-06
    61   0.162652E+04  -0.210358E+01  -0.210718E-03  -0.210358E+01   0.196866E+00  -0.569511E-06  -0.210718E-03  -0.569511E-06   0.140250E-06
    62   0.164900E+04  -0.241466E+01  -0.202551E-03  -0.241466E+01   0.206676E+00  -0.653959E-06  -0.202551E-03  -0.653959E-06   0.139300E-06
    63   0.167159E+04  -0.273930E+01  -0.194524E-03  -0.273930E+01   0.216760E+00  -0.759479E-06  -0.194524E-03  -0.759479E-06   0.138351E-06
    64   0.169458E+04  -0.307828E+01  -0.186679E-03  -0.307828E+01   0.227135E+00  -0.869388E-06  -0.186679E-03  -0.869388E-06   0.137403E-06
    65   0.171757E+04  -0.343181E+01  -0.179059E-03  -0.343181E+01   0.237783E+00  -0.967005E-06  -0.179059E-03  -0.967005E-06   0.136457E-06
    66   0.174086E+04  -0.379777E+01  -0.171700E-03  -0.379777E+01   0.248639E+00  -0.103873E-05  -0.171700E-03  -0.103873E-05   0.135513E-06
    67   0.176428E+04  -0.417378E+01  -0.164608E-03  -0.417378E+01   0.259705E+00  -0.108332E-05  -0.164608E-03  -0.108332E-05   0.134573E-06
    68   0.178809E+04  -0.455872E+01  -0.157781E-03  -0.455872E+01   0.271020E+00  -0.110262E-05  -0.157781E-03  -0.110262E-05   0.133636E-06
    69   0.181207E+04  -0.495137E+01  -0.151217E-03  -0.495137E+01   0.282542E+00  -0.109846E-05  -0.151217E-03  -0.109846E-05   0.132703E-06
    70   0.183634E+04  -0.535395E+01  -0.144914E-03  -0.535395E+01   0.294310E+00  -0.107268E-05  -0.144914E-03  -0.107268E-05   0.131774E-06
    71   0.186075E+04  -0.576925E+01  -0.138862E-03  -0.576925E+01   0.306312E+00  -0.102802E-05  -0.138862E-03  -0.102802E-05   0.130849E-06
    72   0.188532E+04  -0.619841E+01  -0.133024E-03  -0.619841E+01   0.318520E+00  -0.970863E-06  -0.133024E-03  -0.970863E-06   0.129929E-06
    73   0.191005E+04  -0.664169E+01  -0.127351E-03  -0.664169E+01   0.330903E+00  -0.908464E-06  -0.127351E-03  -0.908464E-06   0.129012E-06
    74   0.193498E+04  -0.709785E+01  -0.121796E-03  -0.709785E+01   0.343449E+00  -0.848097E-06  -0.121796E-03  -0.848097E-06   0.128100E-06
    75   0.196024E+04  -0.756504E+01  -0.116313E-03  -0.756504E+01   0.356169E+00  -0.797033E-06  -0.116313E-03  -0.797033E-06   0.127191E-06
    76   0.198578E+04  -0.804234E+01  -0.110868E-03  -0.804234E+01   0.369065E+00  -0.760528E-06  -0.110868E-03  -0.760528E-06   0.126287E-06
    77   0.201164E+04  -0.852956E+01  -0.105475E-03  -0.852956E+01   0.382131E+00  -0.735788E-06  -0.105475E-03  -0.735788E-06   0.125386E-06
    78   0.203786E+04  -0.902814E+01  -0.100162E-03  -0.902814E+01   0.395397E+00  -0.718000E-06  -0.100162E-03  -0.718000E-06   0.124490E-06
    79   0.206421E+04  -0.953434E+01  -0.949565E-04  -0.953434E+01   0.408809E+00  -0.702357E-06  -0.949565E-04  -0.702357E-06   0.123599E-06
    80   0.209080E+04  -0.100496E+02  -0.898856E-04  -0.100496E+02   0.422376E+00  -0.684047E-06  -0.898856E-04  -0.684047E-06   0.122713E-06
    81   0.211751E+04  -0.105745E+02  -0.849736E-04  -0.105745E+02   0.436048E+00  -0.659558E-06  -0.849736E-04  -0.659558E-06   0.121831E-06
    82   0.214442E+04  -0.111083E+02  -0.802307E-04  -0.111083E+02   0.449847E+00  -0.630560E-06  -0.802307E-04  -0.630560E-06   0.120956E-06
    83   0.217150E+04  -0.116507E+02  -0.756635E-04  -0.116507E+02   0.463749E+00  -0.600021E-06  -0.756635E-04  -0.600021E-06   0.120086E-06
    84   0.219884E+04  -0.122002E+02  -0.712789E-04  -0.122002E+02   0.477748E+00  -0.570909E-06  -0.712789E-04  -0.570909E-06   0.119222E-06
    85   0.222631E+04  -0.127580E+02  -0.670837E-04  -0.127580E+02   0.491821E+00  -0.546191E-06  -0.670837E-04  -0.546191E-06   0.118364E-06
    86   0.225401E+04  -0.133232E+02  -0.630803E-04  -0.133232E+02   0.505978E+00  -0.528176E-06  -0.630803E-04  -0.528176E-06   0.117512E-06
    87   0.228216E+04  -0.138950E+02  -0.592543E-04  -0.138950E+02   0.520192E+00  -0.516535E-06  -0.592543E-04  -0.516535E-06   0.116667E-06
    88   0.231029E+04  -0.144734E+02  -0.555871E-04  -0.144734E+02   0.534480E+00  -0.510281E-06  -0.555871E-04  -0.510281E-06   0.115828E-06
    89   0.233879E+04  -0.150597E+02  -0.520600E-04  -0.150597E+02   0.548829E+00  -0.508425E-06  -0.520600E-04  -0.508425E-06   0.114995E-06
    90   0.236747E+04  -0.156510E+02  -0.486543E-04  -0.156510E+02   0.563205E+00  -0.509981E-06  -0.486543E-04  -0.509981E-06   0.114168E-06
    91   0.239627E+04  -0.162480E+02  -0.453543E-04  -0.162480E+02   0.577603E+00  -0.514098E-06  -0.453543E-04  -0.514098E-06   0.113348E-06
    92   0.242532E+04  -0.168499E+02  -0.421550E-04  -0.168499E+02   0.592010E+00  -0.520476E-06  -0.421550E-04  -0.520476E-06   0.112534E-06
