#    L    TT             EE             TE             PP             TP          
   134   0.378495E+04   0.104135E+01  -0.408627E+02   0.385750E+07   0.471834E+03
   135   0.381892E+04   0.104496E+01  -0.412503E+02   0.383223E+07   0.484029E+03
   136   0.385273E+04   0.104810E+01  -0.416201E+02   0.380717E+07   0.495829E+03
   137   0.388655E+04   0.105083E+01  -0.419744E+02   0.378234E+07   0.507244E+03
   138   0.392029E+04   0.105308E+01  -0.423117E+02   0.375773E+07   0.518283E+03
   139   0.395381E+04   0.105500E+01  -0.426314E+02   0.373334E+07   0.528955E+03
   140   0.398740E+04   0.105636E+01  -0.429341E+02   0.370916E+07   0.539270E+03
   141   0.402077E+04   0.105724E+01  -0.432177E+02   0.368520E+07   0.549237E+03
   142   0.405415E+04   0.105770E+01  -0.434830E+02   0.366145E+07   0.558866E+03
   143   0.408746E+04   0.105775E+01  -0.437300E+02   0.363791E+07   0.568165E+03
   144   0.412055E+04   0.105731E+01  -0.439580E+02   0.361458E+07   0.577144E+03
   145   0.415349E+04   0.105653E+01  -0.441662E+02   0.359146E+07   0.585812E+03
   146   0.418652E+04   0.105518E+01  -0.443548E+02   0.356854E+07   0.594179E+03
   147   0.421919E+04   0.105348E+01  -0.445222E+02   0.354582E+07   0.602255E+03
   148   0.425171E+04   0.105129E+01  -0.446700E+02   0.352331E+07   0.610047E+03
   149   0.428418E+04   0.104867E+01  -0.447967E+02   0.350099E+07   0.617567E+03
   150   0.431636E+04   0.104571E+01  -0.449001E+02   0.347887E+07   0.624822E+03
   151   0.434840E+04   0.104231E+01  -0.449833E+02   0.345694E+07   0.631821E+03
   152   0.438015E+04   0.103842E+01  -0.450447E+02   0.343521E+07   0.638566E+03
   153   0.441178E+04   0.103416E+01  -0.450820E+02   0.341367E+07   0.645055E+03
   154   0.444320E+04   0.102954E+01  -0.450974E+02   0.339232E+07   0.651289E+03
   155   0.447442E+04   0.102456E+01  -0.450903E+02   0.337116E+07   0.657267E+03
   156   0.450529E+04   0.101920E+01  -0.450605E+02   0.335018E+07   0.662990E+03
   157   0.453610E+04   0.101348E+01  -0.450065E+02   0.332939E+07   0.668456E+03
   158   0.456665E+04   0.100745E+01  -0.449291E+02   0.330878E+07   0.673666E+03
   159   0.459692E+04   0.100096E+01  -0.448282E+02   0.328836E+07   0.678620E+03
   160   0.462700E+04   0.994171E+00  -0.447023E+02   0.326812E+07   0.683316E+03
   161   0.465688E+04   0.987140E+00  -0.445529E+02   0.324805E+07   0.687756E+03
   162   0.468650E+04   0.979719E+00  -0.443799E+02   0.322817E+07   0.691938E+03
   163   0.471601E+04   0.971979E+00  -0.441818E+02   0.320846E+07   0.695862E+03
   164   0.474510E+04   0.963990E+00  -0.439601E+02   0.318892E+07   0.699529E+03
   165   0.477409E+04   0.955674E+00  -0.437125E+02   0.316956E+07   0.702937E+03
   166   0.480281E+04   0.947177E+00  -0.434405E+02   0.315037E+07   0.706088E+03
   167   0.483136E+04   0.938273E+00  -0.431447E+02   0.313136E+07   0.708979E+03
   168   0.485950E+04   0.929328E+00  -0.428230E+02   0.311251E+07   0.711612E+03
   169   0.488738E+04   0.920044E+00  -0.424753E+02   0.309382E+07   0.713985E+03
   170   0.491502E+04   0.910638E+00  -0.421030E+02   0.307531E+07   0.716099E+03
   171   0.494226E+04   0.901109E+00  -0.417040E+02   0.305695E+07   0.717954E+03
   172   0.496917E+04   0.891377E+00  -0.412796E+02   0.303877E+07   0.719548E+03
   173   0.499569E+04   0.881439E+00  -0.408298E+02   0.302074E+07   0.720883E+03
   174   0.502197E+04   0.871590E+00  -0.403546E+02   0.300287E+07   0.721957E+03
   175   0.504793E+04   0.861528E+00  -0.398532E+02   0.298516E+07   0.722770E+03
   176   0.507343E+04   0.851472E+00  -0.393257E+02   0.296761E+07   0.723325E+03
   177   0.509861E+04   0.841345E+00  -0.387733E+02   0.295021E+07   0.723627E+03
   178   0.512340E+04   0.831363E+00  -0.381945E+02   0.293296E+07   0.723689E+03
   179   0.514780E+04   0.821224E+00  -0.375893E+02   0.291587E+07   0.723518E+03
   180   0.517195E+04   0.811148E+00  -0.369591E+02   0.289893E+07   0.723124E+03
   181   0.519563E+04   0.801128E+00  -0.363038E+02   0.288213E+07   0.722518E+03
   182   0.521891E+04   0.791234E+00  -0.356218E+02   0.286549E+07   0.721708E+03
   183   0.524173E+04   0.781387E+00  -0.349146E+02   0.284899E+07   0.720704E+03
   184   0.526422E+04   0.771657E+00  -0.341812E+02   0.283263E+07   0.719516E+03
   185   0.528630E+04   0.762187E+00  -0.334240E+02   0.281642E+07   0.718154E+03
   186   0.530762E+04   0.752831E+00  -0.326397E+02   0.280035E+07   0.716627E+03
   187   0.532883E+04   0.743725E+00  -0.318299E+02   0.278441E+07   0.714944E+03
   188   0.534956E+04   0.734850E+00  -0.309959E+02   0.276862E+07   0.713116E+03
   189   0.536974E+04   0.726238E+00  -0.301362E+02   0.275296E+07   0.711151E+03
   190   0.538981E+04   0.717936E+00  -0.292529E+02   0.273744E+07   0.709059E+03
   191   0.540903E+04   0.709961E+00  -0.283430E+02   0.272205E+07   0.706851E+03
   192   0.542792E+04   0.702332E+00  -0.274087E+02   0.270679E+07   0.704535E+03
   193   0.544624E+04   0.695087E+00  -0.264512E+02   0.269166E+07   0.702121E+03
   194   0.546423E+04   0.688251E+00  -0.254684E+02   0.267666E+07   0.699619E+03
   195   0.548166E+04   0.681857E+00  -0.244624E+02   0.266179E+07   0.697039E+03
   196   0.549852E+04   0.675937E+00  -0.234323E+02   0.264704E+07   0.694389E+03
   197   0.551497E+04   0.670531E+00  -0.223796E+02   0.263242E+07   0.691679E+03
