#           k/h    P           
 0.10994715E-01 0.20269488E+05
 0.11216822E-01 0.20385980E+05
 0.11443418E-01 0.20497475E+05
 0.11674589E-01 0.20603748E+05
 0.11910431E-01 0.20704568E+05
 0.12151038E-01 0.20799709E+05
 0.12396505E-01 0.20888943E+05
 0.12646930E-01 0.20972082E+05
 0.12902415E-01 0.21048986E+05
 0.13163067E-01 0.21119531E+05
 0.13428980E-01 0.21183598E+05
 0.13700262E-01 0.21241066E+05
 0.13977026E-01 0.21291662E+05
 0.14259379E-01 0.21334842E+05
 0.14547437E-01 0.21370031E+05
 0.14841316E-01 0.21396672E+05
 0.15141129E-01 0.21414213E+05
 0.15447001E-01 0.21422744E+05
 0.15759049E-01 0.21423357E+05
 0.16077405E-01 0.21417236E+05
 0.16402189E-01 0.21405576E+05
 0.16733535E-01 0.21389545E+05
 0.17071573E-01 0.21369086E+05
 0.17416442E-01 0.21342311E+05
 0.17768279E-01 0.21307197E+05
 0.18127220E-01 0.21261750E+05
 0.18493414E-01 0.21204016E+05
 0.18867005E-01 0.21132971E+05
 0.19248145E-01 0.21048863E+05
 0.19636983E-01 0.20952053E+05
 0.20033674E-01 0.20842916E+05
 0.20438381E-01 0.20721857E+05
 0.20851264E-01 0.20589461E+05
 0.21272486E-01 0.20446539E+05
 0.21702228E-01 0.20293922E+05
 0.22140643E-01 0.20132432E+05
 0.22587912E-01 0.19962877E+05
 0.23044219E-01 0.19785742E+05
 0.23509743E-01 0.19601117E+05
 0.23984671E-01 0.19409082E+05
 0.24469191E-01 0.19209736E+05
 0.24963502E-01 0.19003178E+05
 0.25467798E-01 0.18789336E+05
 0.25982281E-01 0.18567939E+05
 0.26507158E-01 0.18338736E+05
 0.27042639E-01 0.18101518E+05
 0.27588934E-01 0.17856117E+05
 0.28146267E-01 0.17602678E+05
 0.28714858E-01 0.17341652E+05
 0.29294936E-01 0.17073520E+05
 0.29886734E-01 0.16798758E+05
 0.30490484E-01 0.16517877E+05
 0.31106433E-01 0.16231923E+05
 0.31734824E-01 0.15942452E+05
 0.32375909E-01 0.15650965E+05
 0.33029947E-01 0.15358874E+05
 0.33697195E-01 0.15067485E+05
 0.34377921E-01 0.14777543E+05
 0.35072401E-01 0.14489295E+05
 0.35780910E-01 0.14202956E+05
 0.36503751E-01 0.13918729E+05
 0.37241172E-01 0.13636821E+05
 0.37993494E-01 0.13357754E+05
 0.38761012E-01 0.13082298E+05
 0.39544035E-01 0.12811174E+05
 0.40342879E-01 0.12545041E+05
 0.41157857E-01 0.12284501E+05
 0.41989300E-01 0.12030107E+05
 0.42837542E-01 0.11782365E+05
 0.43702915E-01 0.11541729E+05
 0.44585772E-01 0.11308610E+05
 0.45486465E-01 0.11083369E+05
 0.46405349E-01 0.10866262E+05
 0.47342800E-01 0.10657460E+05
 0.48299186E-01 0.10457113E+05
 0.49274892E-01 0.10265349E+05
 0.50270312E-01 0.10082239E+05
 0.51285837E-01 0.99075645E+04
 0.52321881E-01 0.97409951E+04
 0.53378850E-01 0.95822168E+04
